ID,Sales
T1188341,47811.055
T1188342,35807.176
T1188343,71316.43
T1188344,33095.53
T1188345,36670.914
T1188346,87296.69
T1188347,56774.33
T1188348,44937.24
T1188349,48677.383
T1188350,32988.367
T1188351,38901.145
T1188352,43497.71
T1188353,36152.16
T1188354,34975.836
T1188355,37360.88
T1188356,32460.191
T1188357,41149.984
T1188358,20340.223
T1188359,25272.086
T1188360,50632.773
T1188361,28519.654
T1188362,37336.945
T1188363,37802.98
T1188364,28758.39
T1188365,35483.8
T1188366,28109.746
T1188367,32042.436
T1188368,29472.309
T1188369,34418.33
T1188370,41323.883
T1188371,34200.992
T1188372,53075.375
T1188373,31726.121
T1188374,30065.088
T1188375,75568.164
T1188376,60315.54
T1188377,30292.092
T1188378,30653.777
T1188379,25657.994
T1188380,58400.73
T1188381,27457.035
T1188382,31792.191
T1188383,30364.35
T1188384,30374.688
T1188385,41034.41
T1188386,35549.43
T1188387,58243.652
T1188388,58202.445
T1188389,29398.512
T1188390,94651.29
T1188391,33996.086
T1188392,44651.0
T1188393,61099.37
T1188394,44773.73
T1188395,31548.299
T1188396,68983.9
T1188397,40214.754
T1188398,37347.3
T1188399,36832.734
T1188400,41107.504
T1188401,29449.02
T1188402,19163.496
T1188403,46994.773
T1188404,27693.88
T1188405,34191.723
T1188406,21804.547
T1188407,48784.715
T1188408,33216.863
T1188409,38010.79
T1188410,23375.312
T1188411,50242.18
T1188412,22114.18
T1188413,33903.008
T1188414,25036.951
T1188415,30589.29
T1188416,40629.72
T1188417,47989.434
T1188418,39172.684
T1188419,41429.734
T1188420,49657.35
T1188421,21774.004
T1188422,47579.92
T1188423,61198.797
T1188424,33947.277
T1188425,30652.918
T1188426,35104.53
T1188427,53000.25
T1188428,34055.457
T1188429,57659.55
T1188430,48800.914
T1188431,35418.652
T1188432,19877.283
T1188433,49382.082
T1188434,32323.842
T1188435,31418.865
T1188436,51752.047
T1188437,47736.555
T1188438,22652.963
T1188439,43667.652
T1188440,36245.664
T1188441,27674.4
T1188442,41097.24
T1188443,38210.95
T1188444,35413.684
T1188445,30441.098
T1188446,24927.133
T1188447,53859.266
T1188448,59497.266
T1188449,39615.207
T1188450,32042.95
T1188451,45074.41
T1188452,20342.346
T1188453,39770.207
T1188454,26674.123
T1188455,58038.004
T1188456,24592.443
T1188457,27359.4
T1188458,30922.686
T1188459,58607.76
T1188460,20713.133
T1188461,38030.66
T1188462,33503.473
T1188463,23216.553
T1188464,43683.977
T1188465,39018.04
T1188466,29195.566
T1188467,22443.36
T1188468,40027.668
T1188469,34908.613
T1188470,21316.744
T1188471,39892.953
T1188472,41718.047
T1188473,36070.812
T1188474,50745.207
T1188475,14972.965
T1188476,43947.984
T1188477,31797.83
T1188478,32350.92
T1188479,18132.83
T1188480,44193.465
T1188481,49174.934
T1188482,42093.465
T1188483,46731.785
T1188484,45831.324
T1188485,26159.76
T1188486,18567.041
T1188487,35168.03
T1188488,34806.67
T1188489,30247.514
T1188490,44897.387
T1188491,41154.246
T1188492,25727.229
T1188493,30477.938
T1188494,46463.426
T1188495,23917.602
T1188496,42662.67
T1188497,23579.764
T1188498,30941.121
T1188499,38391.656
T1188500,48220.293
T1188501,30158.105
T1188502,35600.59
T1188503,26584.303
T1188504,28913.479
T1188505,29152.912
T1188506,48678.848
T1188507,40745.703
T1188508,39190.887
T1188509,25084.914
T1188510,31912.562
T1188511,34164.453
T1188512,35849.605
T1188513,28278.652
T1188514,33311.14
T1188515,53622.816
T1188516,32411.172
T1188517,51120.17
T1188518,29187.986
T1188519,40629.92
T1188520,20572.02
T1188521,42738.56
T1188522,32867.906
T1188523,28805.557
T1188524,41091.996
T1188525,57364.434
T1188526,28263.193
T1188527,32745.115
T1188528,33765.73
T1188529,48461.375
T1188530,37876.074
T1188531,48137.785
T1188532,40997.066
T1188533,33535.74
T1188534,35685.29
T1188535,48732.75
T1188536,53893.195
T1188537,79782.03
T1188538,52934.098
T1188539,40344.7
T1188540,33682.863
T1188541,32920.1
T1188542,59014.703
T1188543,35367.68
T1188544,37300.633
T1188545,32949.695
T1188546,24022.055
T1188547,35335.57
T1188548,41130.016
T1188549,30276.11
T1188550,37169.457
T1188551,41602.66
T1188552,17287.83
T1188553,38244.773
T1188554,62604.953
T1188555,31516.475
T1188556,56442.312
T1188557,22610.117
T1188558,25340.24
T1188559,36159.363
T1188560,34752.25
T1188561,40946.35
T1188562,25861.172
T1188563,33470.203
T1188564,49769.86
T1188565,36909.125
